,season,episode,rating,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Nellie,Creed,Gabe,Roy
39,3.0,12.0,8.6,48.0,33.0,39.0,26.0,29.0,7.0,17.0,,,8.0,,10.0,2.0,1.0,,8.0,,,,,
40,3.0,13.0,8.8,48.0,25.0,25.0,10.0,40.0,3.0,14.0,11.0,,3.0,,3.0,,,,2.0,2.0,,3.0,,
41,3.0,14.0,8.1,77.0,29.0,25.0,30.0,,3.0,5.0,,,6.0,,,3.0,6.0,,1.0,2.0,,,,1.0
42,3.0,15.0,8.2,49.0,25.0,19.0,15.0,,4.0,3.0,,,,,15.0,6.0,,2.0,2.0,1.0,,,,9.0
43,3.0,16.0,8.9,65.0,25.0,20.0,29.0,,7.0,5.0,9.0,,16.0,,,11.0,,3.0,2.0,12.0,,8.0,,8.0
44,3.0,17.0,8.5,85.0,35.0,22.0,24.0,,12.0,3.0,1.0,,12.0,,,4.0,47.0,5.0,5.0,2.0,,2.0,,24.0
45,3.0,18.0,9.0,107.0,18.0,41.0,16.0,2.0,8.0,11.0,4.0,,9.0,43.0,4.0,14.0,30.0,17.0,4.0,,,3.0,,8.0
46,3.0,19.0,8.8,102.0,70.0,31.0,21.0,34.0,22.0,5.0,3.0,,9.0,32.0,3.0,11.0,,8.0,5.0,,,4.0,,
47,3.0,20.0,8.8,68.0,42.0,74.0,16.0,56.0,10.0,25.0,9.0,,3.0,,1.0,25.0,,,1.0,,,15.0,,
48,3.0,21.0,8.8,92.0,46.0,33.0,36.0,16.0,11.0,11.0,,,5.0,,12.0,7.0,17.0,7.0,2.0,5.0,,6.0,,
49,3.0,22.0,9.1,145.0,50.0,30.0,30.0,21.0,6.0,8.0,5.0,,5.0,,5.0,9.0,,4.0,12.0,7.0,,2.0,,
50,3.0,23.0,9.3,123.0,70.0,65.0,51.0,30.0,17.0,6.0,12.0,,4.0,,5.0,7.0,43.0,,7.0,6.0,,3.0,,
51,4.0,1.0,8.8,160.0,57.0,53.0,84.0,10.0,21.0,50.0,14.0,,8.0,5.0,9.0,7.0,7.0,11.0,10.0,25.0,,9.0,,
52,4.0,2.0,8.3,158.0,74.0,48.0,56.0,14.0,16.0,23.0,8.0,,85.0,,13.0,24.0,17.0,18.0,5.0,,,15.0,,
53,4.0,3.0,8.4,156.0,88.0,70.0,31.0,47.0,17.0,52.0,12.0,,7.0,9.0,9.0,12.0,6.0,8.0,7.0,14.0,,1.0,,
54,4.0,4.0,8.7,159.0,53.0,52.0,56.0,25.0,12.0,10.0,32.0,,21.0,10.0,3.0,13.0,40.0,2.0,7.0,1.0,,7.0,,
55,4.0,5.0,8.8,92.0,11.0,47.0,22.0,21.0,3.0,2.0,1.0,,8.0,10.0,7.0,,,2.0,1.0,3.0,,2.0,,
