,season,episode,rating,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Nellie,Creed,Gabe,Roy
169,9.0,5.0,7.0,,39.0,35.0,32.0,50.0,2.0,6.0,3.0,24.0,,6.0,,,,5.0,2.0,5.0,21.0,3.0,,
170,9.0,6.0,7.7,,34.0,9.0,11.0,54.0,25.0,12.0,27.0,40.0,,4.0,,,,9.0,,3.0,16.0,1.0,,
171,9.0,7.0,7.6,,53.0,22.0,45.0,9.0,3.0,21.0,21.0,18.0,,3.0,14.0,,25.0,5.0,,4.0,6.0,1.0,,
172,9.0,8.0,7.8,,57.0,29.0,17.0,,16.0,52.0,22.0,6.0,,6.0,12.0,,,8.0,14.0,8.0,9.0,3.0,,
173,9.0,9.0,8.3,,59.0,58.0,32.0,,13.0,11.0,7.0,24.0,,17.0,10.0,,,11.0,5.0,5.0,11.0,2.0,,
174,9.0,10.0,7.6,,18.0,28.0,44.0,,14.0,16.0,10.0,26.0,,15.0,8.0,,,,4.0,22.0,9.0,4.0,,
175,9.0,11.0,7.9,,41.0,18.0,23.0,,19.0,13.0,19.0,11.0,,19.0,6.0,,,,4.0,6.0,9.0,3.0,,
176,9.0,12.0,8.0,,44.0,37.0,48.0,,10.0,6.0,8.0,18.0,,24.0,3.0,,,7.0,1.0,2.0,24.0,2.0,,
177,9.0,13.0,7.6,,87.0,45.0,24.0,,1.0,1.0,2.0,2.0,,2.0,,,,,2.0,5.0,3.0,,,
178,9.0,14.0,7.5,,37.0,30.0,57.0,,6.0,15.0,12.0,10.0,,35.0,1.0,,,3.0,,1.0,9.0,1.0,,
179,9.0,15.0,7.3,,32.0,26.0,28.0,62.0,6.0,4.0,7.0,26.0,,3.0,6.0,,8.0,,1.0,2.0,7.0,,,
180,9.0,16.0,8.1,,44.0,28.0,55.0,83.0,5.0,42.0,8.0,33.0,,5.0,10.0,,,15.0,5.0,7.0,8.0,4.0,20.0,
181,9.0,17.0,7.5,,51.0,6.0,21.0,5.0,12.0,8.0,11.0,4.0,,1.0,8.0,,,,2.0,3.0,2.0,3.0,,
182,9.0,18.0,8.0,,37.0,31.0,42.0,11.0,9.0,32.0,29.0,3.0,,12.0,6.0,,,2.0,5.0,3.0,4.0,,,
183,9.0,19.0,8.0,,61.0,15.0,9.0,31.0,5.0,4.0,7.0,10.0,,,5.0,,,15.0,21.0,2.0,13.0,2.0,,
184,9.0,20.0,8.0,,21.0,17.0,22.0,39.0,10.0,16.0,2.0,16.0,,10.0,,,,7.0,2.0,,20.0,1.0,,
185,9.0,21.0,9.0,,54.0,63.0,30.0,68.0,13.0,30.0,19.0,9.0,,11.0,4.0,,,7.0,4.0,1.0,5.0,2.0,,
186,9.0,22.0,9.5,,87.0,89.0,34.0,44.0,30.0,39.0,28.0,22.0,,30.0,7.0,,,,4.0,9.0,,4.0,,
187,9.0,23.0,9.8,2.0,76.0,73.0,45.0,31.0,31.0,23.0,18.0,11.0,15.0,19.0,17.0,12.0,,13.0,8.0,15.0,9.0,8.0,,
